Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
ABW,-1.066352139618043,-0.9516526100394863,-41.80357744243541,-11.973799411511553,0.47181766302482053,9.461448151065488,0.01248988269613555
AFG,0.48696714706206734,-0.9328525668491612,-1.727581990051641,0.5117047798447905,0.051076752769496636,-2.3197895699045956,0.00012210803809130388
AGO,-1.875202598118908,1.5838065411369495,-0.4605560487077054,-4.823862933415102,-0.17373780034115605,-2.4557469649466035,0.00047594535323967197
ALB,0.31349452650626386,-0.8913621652544303,-1.0306880083866266,0.02045838680810874,0.03864499869701277,-1.9615268503761052,0.00036296069543357006
ARE,-0.198117386790031,4.8315946773081375,-1.1440157717031108,-1.0308726577821337,-0.10938989238321595,-1.7531396198957716,0.0022634492289329068
ARG,-0.027096719833008542,11.040476326424375,-6.907230710079282,-6.694535207049435,-0.026068039329962822,-0.26186187748756806,0.0009571308050890793
ARM,0.36320939847558353,-0.8958381143794714,-0.6615634454271824,-0.12669666749310915,0.05436567926746516,-2.132579885312158,0.0007822350728240692
ATG,-1.721764073576515,-0.8963268083120133,-47.93141583378676,-15.283579216807574,1.7099510509541282,13.567817677168215,0.0316253227855059
AUS,-0.20504003823744732,1.7003650216878572,-3.7592964163773446,-5.0631673593453215,-0.06330555800181381,-1.8067376242023703,0.0010508055467307845
AUT,-0.23866732027076898,148.18154400593176,-2.3399044318255457,-1.5176918195164202,-0.09317514632873891,-2.0997894591150312,0.0006706709680219938
AZE,-0.35402307805481037,0.9929635879526952,0.28027975093036783,-0.3676265298310555,-0.004089435085030679,-2.0393747339544466,0.00032717553957229366
BDI,0.33154713625882515,-0.9209775787905364,-0.1564932652836526,0.7323249646516317,0.04337734380917002,-2.118516590321984,6.461687708867574e-05
BEL,-0.4175950542269713,4.353004395149505,-2.366603712570947,-1.5620723085273736,-0.20519245828130028,-1.1117543343636793,0.00276155030773331
BEN,0.2803752489000999,-0.964208891658444,-3.5973329157997336,-0.7696637168180698,0.047790319870499864,-1.5730605262914032,0.0008696624092415453
BFA,-0.2065282757235165,1.0351751005818417,-0.09876133643107465,-0.6344659061461644,-0.008285724630929803,-1.9086837102253895,0.0004486567635774971
BGD,-0.06624062139088949,8.103031271281907,-7.432995668754727,-3.436263143604945,-0.05758974687958274,-2.9018749923690357,0.0002564904123880157
BGR,0.005392250998004222,4.000743244095365,-0.7189720298694913,-0.31152190717439465,-0.01833326492284293,-2.056139453911976,0.0002941850163261496
BHR,-0.11309381963707787,28.5409434387628,-2.380335510245224,-2.1099574786501263,-0.06286653033614753,-1.4861673634800732,0.0014923951139158963
BHS,-1.3578371828837033,0.5299367717124785,-42.43099749146803,-17.824927937162936,0.5754354935989969,9.640722150353142,0.02426376254404606
BIH,0.26178556441789347,-0.5459459730090248,-1.3663763896282322,-0.37638853138514117,0.016005461618084915,-1.8983114012111058,0.0007186736075657981
BLR,0.2583599001724224,-0.9102397954913857,-0.43105673088168484,0.5729366430812011,0.02740030085182088,-2.417716037210793,1.0960986234755423e-05
BLZ,-1.1733340682534843,-0.4530288104483575,-25.64283291449475,-9.614170834614589,0.3118348228695389,5.5360276831429855,0.012096330995374186
BMU,-0.37572198908508714,-0.9406060794076077,-27.764138305167428,-9.683440004392697,0.08931165785794892,4.808433587306693,0.004178124267027111
BOL,0.033273032689074,2.982640696423641,-1.7597985864090449,-1.743343270541653,-0.004259512655591102,-0.9336259482192855,0.0008910089513742346
BRA,-0.12184278312799002,2.8128464340206714,-5.788646927159524,-7.390612490981729,-0.056243389110222086,-0.9745403198954783,0.0010886467764886498
BRB,-0.5540815152447198,-0.6879808082174971,-24.300705305855086,-9.897565516624962,0.22682700255287624,6.829080437326573,0.007078630473440193
BRN,-0.5711058533447777,1.852339030073525,-0.3758126310738463,-0.7054313562790515,-0.06871313763235909,-2.2416428895733254,0.0007069584514628936
BTN,0.544023385850867,-0.9781827467948787,-0.2930946553741154,0.7514111149980796,0.0646790205278025,-2.5199898561266143,5.085224521469054e-05
BWA,-0.24516979500025515,102.95855890642449,-2.5603809366344654,-1.5415390897441705,-0.09097226775800493,-2.4375463522303575,0.00022973245037566711
