country,rank_2024,imports_2024_bn,share_2024_pct,rank_2025,imports_2025_bn,share_2025_pct,rank_change
Ireland,1,54.67,25.94,1,45.49,21.77,0
Germany,4,16.24,7.71,2,25.49,12.20,2
Switzerland,2,19.20,9.11,3,19.57,9.37,-1
India,6,12.31,5.84,4,15.02,7.19,2
Belgium,5,12.33,5.85,5,11.95,5.72,0
Singapore,3,16.59,7.87,8,11.23,5.38,-5
