,r2_train,r2_test,rmse_test
welfare_us,0.9998738444681655,0.9998239658174431,0.0067004847581559005
cpi_us,0.9999948439407264,0.9999918701076631,0.05572580378869025
employment_us,0.9996375818498322,0.9994904141655993,0.003647660988479726
trade_deficit_us,0.9999873457771967,0.9999755803064154,0.04584007288811476
hhi_pharma,0.9999960614976371,0.9999942206660436,0.032930326238544444
welfare_china,0.9999857160819694,0.9999794016751258,0.005625519077590399
welfare_eu,0.9997450011638942,0.9997225951699581,0.0021302174060592034
