us_tariff,china_rate,eu_rate,canmex_rate,welfare_us,cpi_us,employment_us,trade_deficit_us,hhi_pharma,welfare_china,welfare_eu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.728368706196549e-13,580.4,0.0,0.0
0.0,0.0,0.0,0.1,-0.2672103765804845,-0.5388649332288775,-0.09524561717533242,-2.849282131657228,580.4,0.035938336565788376,0.008757109591894796
0.0,0.0,0.0,0.2,-0.45239501986340525,-0.9560887332009105,-0.16165503732512576,-4.849588178359985,580.4,0.06563343557275392,0.01661715385492535
0.0,0.0,0.0,0.3,-0.5787386230108549,-1.2641280133162347,-0.20714905776088033,-6.228174704291594,580.4,0.0885624463557999,0.022883187078948097
0.0,0.0,0.0,0.4,-0.664361426167881,-1.484692178274416,-0.23805489613882846,-7.169677872541189,580.4,0.10551090951964603,0.027530576120726735
0.0,0.0,0.0,0.5,-0.7224510989981892,-1.6401256253150587,-0.25904637654928786,-7.812186010465099,580.4,0.11773802789671883,0.03083591026011856
0.0,0.0,0.1,0.0,-0.1464806312549971,-0.6735953442759457,-0.05532884478550715,-1.8725803719293814,580.4,0.02153240072075846,0.12211262809112
0.0,0.0,0.1,0.1,-0.4156435775255485,-1.24126003774091,-0.15165487032920977,-4.743321783783036,580.4,0.0583136668521167,0.13583684972982013
0.0,0.0,0.1,0.2,-0.6029258709508989,-1.6835140249120695,-0.21912202400613534,-6.76768206050546,580.4,0.08893524134474529,0.14776356055588025
0.0,0.0,0.1,0.3,-0.7312023952949609,-2.012005869616007,-0.2655440074160631,-8.16893488763366,580.4,0.11274932394593762,0.15717231852834246
0.0,0.0,0.1,0.4,-0.8184358840971129,-2.248432682063428,-0.2972012071265073,-9.129568048414031,580.4,0.13045861615110788,0.16414612563933062
0.0,0.0,0.1,0.5,-0.8777843407174135,-2.4157208066029945,-0.3187693185751628,-9.7871396692045,580.4,0.1432947124966777,0.16912668206179315
0.0,0.0,0.2,0.0,-0.2331075436183827,-1.0890745283388736,-0.08818467558703302,-2.988344148132686,580.4,0.03583827003188489,0.08581997672099106
0.0,0.0,0.2,0.1,-0.5035539168680936,-1.6759249157095035,-0.18521632322969772,-5.873823528636565,580.4,0.07323323610886057,0.09920594376047198
0.0,0.0,0.2,0.2,-0.6921961723088454,-2.134914042490521,-0.2533709215023938,-7.9142716252650835,580.4,0.10450651174971348,0.11099447588787115
0.0,0.0,0.2,0.3,-0.8217232394615248,-2.4771471953623836,-0.3003967101870786,-9.33056873609795,580.4,0.12893455419584754,0.12038667549130189
0.0,0.0,0.2,0.4,-0.9100008711246499,-2.7242856219999556,-0.3325444699936675,-10.303888436497099,580.4,0.1471691622167981,0.12740060412166354
0.0,0.0,0.2,0.5,-0.9701678365270361,-2.899615049632698,-0.35449047142160905,-10.971464258812414,580.4,0.16042535694797966,0.1324381312288736
0.0,0.0,0.3,0.0,-0.28547934397007424,-1.34728263970747,-0.10808538149713609,-3.666842929302685,580.4,0.045204194538861486,-0.0015634904221739632
0.0,0.0,0.3,0.1,-0.5567585570708689,-1.9466497697572138,-0.20557187397493015,-6.562142254909226,580.4,0.08302442053915726,0.009312620485490974
