Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
ABW,-0.902782523746826,-0.894217798992233,-40.3508970539777,-11.165924137878,0.459676888859906,8.57954813565942,0.0117659526918782
AFG,0.622070363096983,-0.874762871823799,-1.88477139730663,0.721072564536906,0.0657021270383584,-2.62811066714015,0.000117873985613723
AGO,-2.26751156489997,1.51275373012835,-0.188061970296549,-5.0647845507975,-0.193571093078704,-2.80573656323705,0.000456063502201245
ALB,0.417009717317907,-0.847073670166301,-1.05988724550639,0.176717366415224,0.0494717909993003,-2.27240986363325,0.000350214098911013
ARE,-0.168622558691689,3.86730142560291,-1.07644802855342,-0.972737811201796,-0.100161673835397,-2.11093163946967,0.00217698953984227
ARG,-0.0203524997266169,9.58450088229404,-6.42784602078289,-6.28922923390356,-0.0225795929859163,-0.627063681329509,0.000920225468625905
ARM,0.447261138642485,-0.851700703982203,-0.691020056598701,-0.0365783714519341,0.0611838233850248,-2.48250824275398,0.000753054987517217
ATG,-1.4995963859744,-0.84225118841551,-45.8919998190383,-14.2359550225868,1.61746425646832,12.3549744472805,0.0294161162183291
AUS,-0.235847183507709,1.51552524781615,-3.50849533583408,-4.90843711014036,-0.0631057188865469,-2.16941638313968,0.00100971892642619
AUT,-0.22037798238268,141.672396996783,-2.2243630676042,-1.4380852105363,-0.0872502760239646,-2.41590027331768,0.000646306043722926
AZE,-0.516508003795424,0.931866450047616,0.426994935438763,-0.436562828892728,-0.0115817810640295,-2.36580731026436,0.000314548073776169
BDI,0.42530179878657,-0.871902017204951,-0.32344287895415,0.914358350867106,0.0529521186430237,-2.41327846665954,6.23902473481719e-05
BEL,-0.3485820301938,4.18518248268431,-2.27733277603144,-1.46668437825439,-0.191257179986726,-1.46731738271522,0.00265787086173397
BEN,0.390460153825556,-0.907819280795538,-3.66663316581219,-0.543154510229615,0.0585716061928032,-1.91077743270299,0.000838087508049416
BFA,-0.322202469096167,0.966804056375126,0.00111812295642277,-0.708402931271312,-0.0157147803940938,-2.24863103421594,0.000431231770191611
BGD,-0.0377342697333471,8.03791039919545,-7.29240195150669,-3.26633487723529,-0.053450073768968,-3.21620101080222,0.000247185595346793
BGR,0.0323450847697471,3.84436171176966,-0.6866595167623,-0.271158517404846,-0.0141637134470352,-2.37329084823613,0.000283508524955042
BHR,-0.0888776705382011,23.9768445776567,-2.18034451427461,-1.96106583151713,-0.0539388199488289,-1.82813318178506,0.00143653196926759
BHS,-1.14642749802207,0.467269139128772,-40.1493792053695,-16.7054905998923,0.560539913773139,8.72851288544496,0.0228375544814832
BIH,0.365738764892098,-0.492448801646658,-1.39114258458901,-0.263736707940843,0.0259810099901836,-2.22626503664073,0.000692840850766322
BLR,0.322692353097564,-0.853010761143415,-0.608646664871149,0.686305287023448,0.0330629611126732,-2.73383307022323,1.05674696075362e-05
BLZ,-0.948988430447417,-0.442098540675906,-24.2869445519193,-8.94568212867712,0.323188385873396,4.91824501747149,0.0115315817133555
BMU,-0.292384409425139,-0.885020794354779,-27.0297068718638,-9.09479314771501,0.092259477985035,4.22923428030277,0.00398289161970549
BOL,0.0263907615412062,2.67448291935631,-1.62208654727958,-1.64676318220308,-0.00281610787609132,-1.29124528762556,0.000856747448046729
BRA,-0.138175767788573,2.47346533208625,-5.33476898250865,-7.02484004569005,-0.0533098729352699,-1.32800541235149,0.00104690297092243
BRB,-0.436487083180848,-0.652622015625275,-23.0013076317937,-9.17290709722894,0.228171343326045,6.13290987922164,0.00671688667031403
BRN,-0.724010818767762,1.76482034871905,-0.328187577560068,-0.788989641286242,-0.0796533099342245,-2.57265310433651,0.000679524478335498
BTN,0.665167859505056,-0.919669960897082,-0.459160223765231,0.898913353253183,0.0763876117242157,-2.82229831230537,4.90941648082396e-05
BWA,-0.236564111979765,101.676465253012,-2.52033232365994,-1.50755486865375,-0.0891649735737965,-2.77009634768629,0.000221159865310071
CAF,0.151261720954698,-0.874356537300331,-1.60217578945225,-0.387955522809169,0.0185057054322257,-2.03385729604084,0.000266831516538323
CAN,-0.861377296684562,209.887983578772,-29.2565353561771,-25.5244624470088,-0.400574493408112,3.02922495315854,0.00929406346117731
CHE,-0.803724271862549,119.961380453083,-6.1074369071822,-4.58898646904765,-0.302004685101953,-2.11926119875803,0.00178805737731236
CHL,-0.444935679137382,5.98487878087692,-8.51167815769137,-9.13005886480296,-0.193709763247085,-0.688168690314561,0.00295090085992399
CHN,-0.645364223682743,6.34014792187313,-5.65790175677375,-7.53148466489983,-0.129184626875933,-3.31496615058486,0.000430423318256792
CIV,-0.161441677383478,8.37525761389095,-2.27241188907086,-1.99652914978372,-0.0529523941087851,-2.22487390803262,0.00056481143068175
CMR,0.196618753566202,-0.535336229042894,0.316189858657578,0.646456342533774,0.0398330239935074,-2.37106480591184,0.000208803050370773
COD,-0.607651099218776,1.07145123159389,-0.150452754513974,-1.63828164131711,-0.0644348000011785,-2.96948592954938,0.000149359795196178
COG,-3.52212276122792,1.07914176595486,-0.0010140071032283,-3.04115064662109,-0.284044098357761,-2.27384712798699,0.000953656904748407
COL,-0.0317034099305058,5.92154053279997,-12.094932415147,-9.0942084719401,-0.0330900670839518,0.606580228444664,0.00268217036220541
COM,0.593176008385554,-0.887523210632925,-0.74894689335061,1.04424857586787,0.0691152770034842,-2.62130692969325,3.00789513915922e-05
CPV,0.49866575452,-0.893577941031685,-1.48024292628179,0.766950010956302,0.0658216603670603,-2.10039156174034,0.000149728901990894
CRI,-0.336559561208749,36.2076309106432,-17.8925450511631,-14.7527333854286,-0.176087919944623,2.11130590181141,0.00615955984491355
CUW,-0.585973559052766,-0.478509337588121,-26.0402738173767,-10.2681720936006,0.146418765093004,4.26529230021799,0.00841602785689476
CYM,-0.277787584706912,-0.893156881583843,-16.525296662258,-5.95350475392193,0.213445354673336,2.31379462967776,0.00684595707977018
CYP,0.525690792647526,-0.787317509895206,-0.344759987263243,0.626114794978272,0.0756272043891837,-2.09868378037324,0.000187115391656779
CZE,-0.0862716064103597,4.18368086888504,-0.427235265484849,-0.301472549039605,-0.0029236035341218,-2.39006302636161,0.000758338769709398
DEU,-0.455370416740175,7.34595460261173,-3.4890530379632,-3.25077191013979,-0.129474460936807,-2.24188258128715,0.000973170930404307
DJI,1.68220124999214,-0.92269242152972,-0.303695707198226,0.921097888233402,0.361765000080916,-2.72670817055986,0.000809208541765636
DMA,-0.112833895788655,-0.895162805451756,-1.44280014001104,-2.78025595960398,0.305418057948303,1.82214474906062,0.0050362777114635
DNK,-0.194362271668336,28.2977019047099,-3.4478609001904,-2.32715250916333,-0.0866615775414692,-2.25564076603053,0.000679494830324961
DOM,-0.399283044105081,1.88010649477076,-28.6805725584283,-13.391418729709,0.0143792076565674,3.70872354271143,0.00659014919966929
