Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
ABW,-1.11293577227018,-0.425664185060095,-26.4250240455694,-3.79021337761586,-0.198366459350818,2.11484659634795,0
AFG,1.65059999975605,-0.393535997386131,-3.07132392632322,2.35959952806841,0.171110474154923,-4.91920765900014,0
AGO,-5.45551618416901,0.915420642787432,2.02603164006103,-6.84186695916924,-0.369671819766759,-5.4127636200848,0
ALB,1.15679312693393,-0.494703244768277,-1.13912591876907,1.45245953081428,0.11306650351699,-4.56534109747964,0
ARE,-0.321119760674504,-5.25906062447064,-0.415970918168396,-0.412483368034944,-0.130819230619117,-4.73807697960327,0
ARG,-0.133581597452281,-4.08696652351369,-1.88151117727758,-2.43209223663594,-0.0393905777605008,-3.33995082320468,0
ARM,0.961981036843973,-0.502931929734137,-0.860718820362028,0.718135335863157,0.069357190974606,-5.08016142869505,0
ATG,-2.68882979571166,-0.410569204101637,-26.0463227791185,-4.34387347161666,-0.443153373806804,4.13278880802193,0
AUS,-0.670412061273296,-0.166151702117457,-1.19697902554955,-3.33781209535046,-0.110621596811922,-4.86199410391717,0
AUT,-0.185986968275642,82.5806177525664,-1.14495000356593,-0.694648584114821,-0.0692127775003382,-4.72777184703297,0
AZE,-1.84889602891649,0.423005349037909,1.60767779832252,-0.924997381112413,-0.0843267963919869,-4.78507487295358,0
BDI,1.14282121629239,-0.474885720852903,-1.49137376555873,2.35172326913307,0.123781685088997,-4.60190441391694,0
BEL,-0.269082855115399,2.6061177831856,-1.40364725235121,-0.583102828405357,-0.214043250397644,-4.05859780833639,0
BEN,1.09931547946083,-0.443257362924848,-4.02048152570473,1.34136662063677,0.0903480299409232,-4.43853172702179,0
BFA,-1.33419759488287,0.388911380590636,0.800540673837302,-1.29563213384077,-0.0988148459696858,-4.78634944420295,0
BGD,0.139572536519039,7.4701296322999,-5.97377024909087,-1.79273416869854,-0.0334303340720266,-5.54361835618558,0
BGR,0.189180889411134,2.36912756240083,-0.38528853472225,0.0692811467672527,0.00384192762656888,-4.71103394866527,0
BHR,-0.145877867952826,-18.5878072041749,-0.274291629443435,-0.540067532247368,-0.0487342150979342,-4.33114947098512,0
BHS,-2.22958141153256,-0.240845405908817,-17.6393133934082,-6.0032805221953,-0.621932516403867,2.56872600771685,0
BIH,1.04674388042103,-0.0498207066206262,-1.5214646192134,0.666817546774578,0.0614483092966189,-4.64916618139846,0
BLR,0.819382233684163,-0.379685405048789,-2.02538080124894,1.55004427427414,0.0757462623742544,-5.08430927115229,0
BLZ,-0.79322697991917,-0.419639868062784,-10.7309981857127,-2.51057826557487,-0.244091454521644,0.476079600394597,0
BMU,-0.257580443012295,-0.43128327818748,-19.7397229974035,-3.76055269529549,-0.0906566480827986,-0.257523108997737,0
BOL,-0.195154669401765,-0.164892619852334,-0.367729828135688,-0.742864914133079,-0.0360521293446436,-3.95154330537242,0
BRA,-0.452886233098015,-0.651453256374955,-1.10952981179324,-3.44326622105314,-0.0778974566534862,-3.92888691325878,0
BRB,-0.480898249357498,-0.407966628538626,-10.0734279294791,-2.5488785106576,-0.0942238108816995,0.892493131245575,0
BRN,-2.09069342748508,1.01516247485289,0.055043990186765,-1.46032420008708,-0.205707792333643,-5.01268574527687,0
BTN,1.59132032296185,-0.43504146093385,-1.77694030600775,2.02919544481026,0.16237208044052,-5.05870098600455,0
BWA,-0.214718585453832,90.7303371026364,-2.17739778550731,-1.2245869157922,-0.0875864454571884,-5.24763505322792,0
CAF,0.404102151167485,-0.471673534092695,-2.16284224196465,0.601870269357652,0.0283475432444114,-4.48983564964278,0
CAN,-0.995790786422912,10.4418945914817,-6.99704537347875,-6.92891615269006,-0.330049693207024,0.812104281131898,0
CHE,-0.974771044740053,98.7952423775826,-4.59192546742011,-3.34369760166376,-0.333624920958764,-4.63450571657209,0
CHL,-0.781585055441836,-2.67455889499986,-2.7906680168841,-4.28456362546926,-0.211341647837138,-3.33667124706568,0
CHN,-1.13256221236169,5.58671939906012,-3.93319574557066,-6.98961077950988,-0.169567550912741,-5.92621916873325,0
CIV,-0.31524646754193,5.03195547686439,-1.28959383406712,-1.37579985476383,-0.0715324115276639,-4.73506046873108,0
CMR,0.376432567200347,-0.515857272220947,0.653986250909466,1.49466005330854,0.0524800163692607,-4.84302104442069,0
COD,-1.44938758386557,0.318137378138558,0.878004807766719,-2.39033022652569,-0.126375435062653,-5.57642579388039,0
COG,-8.70140272782258,0.246726393487086,1.58115956338341,-4.85242732963668,-0.502492494674922,-4.58682961529699,0
COL,-0.0770722221832054,-2.32815713357677,-2.3167333048617,-1.94577240123317,-0.052405091728791,-2.05744426483183,0
COM,1.55509886533931,-0.463702826695422,-1.53047461948718,2.77679300197422,0.175557923362302,-4.83838138488878,0
CPV,1.55218952170397,-0.452194283921109,-1.41624838986008,2.83012102287099,0.183698809128785,-4.22654677190846,0
CRI,-0.554733785042139,-4.15795780147103,-4.1988463936169,-4.12682026350116,-0.196003410346723,-0.62405867828087,0
CUW,-0.549242118204085,-0.450320432639924,-14.0782924398144,-3.69729690745287,-0.221066762121847,-0.20823752052741,0
CYM,0.133919998122822,-0.435950687257572,-10.6202212533783,-1.32882505831489,-0.0998009194569938,-1.47421941178126,0
CYP,1.57335246173684,-0.346919608878758,-1.87271280705464,1.79579654742088,0.161438758707577,-4.38246182969745,0
CZE,-0.406556918186984,2.33127402747886,0.0285243169412697,-0.215495581515412,-0.0163881802382027,-4.76613305601664,0
DEU,-0.733115774342175,4.17361315099568,-1.57582149171296,-2.03181321123422,-0.13604816852355,-4.5998695025892,0
DJI,4.37565670835875,-0.431781059373497,-2.40094942160454,2.98990218873645,0.625311834034425,-5.41326630622536,0
DMA,0.682252270979755,-0.436085266951456,-1.2068193563384,1.05293051190145,0.080390128871799,-1.9195744216403,0
