date,index_canada,index_mexico,index_china,index_usa
01dec2025,1.0097727,.96228451,.99440128,1.0151354
02dec2025,1.0143312,.96853971,.99765038,1.0156749
03dec2025,1.0152379,.9685545,.99935812,1.0182251
04dec2025,1.016292,.97135162,.99994308,1.0195427
05dec2025,1.0171469,.97240394,.99990875,1.018742
06dec2025,1.0178907,.97104883,1.0000577,1.0187795
07dec2025,1.0178809,.97103339,1.0000545,1.0187968
08dec2025,1.017877,.97388572,1.0007781,1.0198318
09dec2025,1.0184305,.97455037,1.0018075,1.0203999
10dec2025,1.019595,.97508478,1.0024571,1.0207988
11dec2025,1.0185562,.97491342,1.0023543,1.0204852
12dec2025,1.0186864,.97535169,1.0020251,1.0202266
13dec2025,1.0179486,.97655392,1.0015748,1.0198826
14dec2025,1.0175146,.97516108,1.0000436,1.0197865
15dec2025,1.0177858,.97280151,.99936461,1.0196923
16dec2025,1.0186137,.97237515,.99955106,1.0194733
17dec2025,1.0190526,.97396737,1.0001473,1.0204421
18dec2025,1.0198402,.97455531,.99942124,1.0193132
19dec2025,1.0208821,.97316742,.9996556,1.0195563
20dec2025,1.0209355,.97400457,.99958152,1.0192846
21dec2025,1.0204511,.97540092,1.0004125,1.0189645
22dec2025,1.0205691,.97587371,1.0006295,1.0192516
23dec2025,1.0203763,.97642839,1.0009434,1.0196722
24dec2025,1.0203635,.97647411,1.0009427,1.0193615
25dec2025,1.0223234,.98191231,1.0015678,1.0208266
26dec2025,1.0198618,.98333907,1.0025238,1.0231985
27dec2025,1.0195891,.98254985,1.0018506,1.0222908
28dec2025,1.0201377,.9832347,1.0026534,1.0226717
29dec2025,1.020834,.98693258,1.0036721,1.0228385
30dec2025,1.0203916,.98599511,1.004091,1.0229558
31dec2025,1.0199609,.98523515,1.0043492,1.0230427
01jan2026,1.0202992,.98954815,1.0054734,1.023262
02jan2026,1.018875,.99037296,1.0057644,1.0236433
03jan2026,1.0191897,.99157917,1.0063748,1.0235608
04jan2026,1.0195512,.99158144,1.0071936,1.0234421
05jan2026,1.0203241,.99229079,1.0084856,1.0234779
