applied_tariff
.1
.25
.32
.1
.1
.1
.1
.1
.1
.2
.1
.1
.2
.1
.1
.37
.2
.1
.1
.36
.24
.1
.1
.11
.1
.1
.24
.1
.38
.1
.1
.31
.1
.54
.21
.12
.11
.1
.1
.1
.1
.1
.1
.1
.2
.2
.2
.1
.1
.2
.1
.3
.1
.1
.1
.2
.2
.1
.2
.32
.2
.1
.1
.1
.1
.1
.1
.1
.1
.13
.2
.1
.1
.1
.38
.1
.1
.2
.1
.2
.32
.27
.2
.1
.39
.1
.17
.2
.1
.2
.24
.27
.1
.1
.49
.1
.1
.26
.1
.48
.1
.1
.31
.1
.44
.5
.2
.2
.2
.1
.1
.31
.47
.1
.17
.1
.33
.1
.2
.45
.1
.1
.16
.1
.4
.18
.24
.21
.1
.1
.14
.19
.2
.16
.1
.1
.1
.3
.1
.1
.18
.1
.1
.2
.2
.1
.1
.1
.2
0
.1
.1
.1
.1
.1
.1
.1
.1
.1
.38
.1
.1
.2
.2
.2
.1
.1
.1
.41
.1
.13
.1
.37
.1
.1
.1
.1
.1
.28
.1
.1
.1
.1
.1
0
.1
.1
.15
.46
.23
.1
.31
.17
.18
